BLDG_USAGE,NAME,BLDG_CODE,PRIMARY_ADDRESS,POSTAL_CODE,BLDG_UID,CONSTR_STATUS,LAT,LONG
Research,TRIUMF - Accelerator Trailer,TRF03,"4004 Wesbrook Mall, Building 15",V6T 2A3,VBL10023,Complete,49.246851,-123.230129
Research,TRIUMF - Compressor Building,TRF05,"4004 Wesbrook Mall, Building 14",V6T 2A3,VBL10027,Complete,49.246664,-123.229909
Research,TRIUMF - Stores Building,TRF17,"4004 Wesbrook Mall, Building 22",V6T 2A3,VBL10037,Complete,49.246544,-123.230587
Academic,Beaty Biodiversity Centre,BETY,2212 Main Mall,V6T 1Z4,VBL10086,Complete,49.263372,-123.250353
Housing,Sandringham,SAND,5650 Hampton Place,V6T 2G5,VBL10106,Complete,49.257847,-123.233544
Parking,Thunderbird Parkade,PART,6085 Thunderbird Boulevard,V6T 1Z3,VBL10113,Complete,49.261655,-123.243068
Academic,Henry Angus Building,ANGU,2053 Main Mall,V6T 1Z2,VBL10067,Complete,49.26511,-123.253877
Housing,Academy - Townhouses,ACD2,"5728 Berton Avenue, Building 1",V6S 0E5,VBL10199,Complete,49.255183,-123.232786
Academic,Neville Scarfe Building,SCRF,2125 Main Mall,V6T 1Z4,VBL10095,Complete,49.263965,-123.253095
Athletics,Cecil Green Squash Court,CGSQ,"6251 Cecil Green Park Road, Building 1",V6T 1Z1,VBL10418,Complete,49.271421,-123.257059
Athletics,National Soccer Development Centre,NSDC,3065 Wesbrook Mall,V6T 1Z3,VBL10091,Complete,49.257149,-123.239979
Housing,Vista Point,VIST,5828 Thunderbird Boulevard,V6T 0B8,VBL10011,Complete,49.261694,-123.240272
Housing,Mundell House,MUNH,6038 Birney Avenue,V6S 0L4,VBL10213,Complete,49.252946,-123.236053
Housing,Granite Terrace,GRT1,3233 Wesbrook Mall,V6S 0B4,VBL10164,Complete,49.254831,-123.236997
Academic,Plant Science Garage,PLS2,"2613 West Mall, Building 1",V6T 1Z4,VBL10432,Complete,49.25644,-123.249256
Housing,Greenwood Commons,GRWC,2660 Wesbrook Mall,V6T 0A5,VBL10010,Complete,49.260948,-123.240072
StudentHousing,Marine Drive Residence - 4,MAR4,"2205 Lower Mall, Building 4",V6T 1Z4,VBL10217,Complete,49.261563,-123.255361
StudentHousing,Marine Drive Residence - 5,MAR5,"2205 Lower Mall, Building 5",V6T 1Z4,VBL10089,Complete,49.261115,-123.254905
Housing,Eton - Apartment,ETN2,5687 Gray Avenue,V6S 0K7,VBL10136,Complete,49.253202,-123.231376
StudentHousing,MBA House,MBAH,3385 Wesbrook Mall,V6T 1Z4,VBL10403,Complete,49.253876,-123.235169
Academic,Irving K. Barber Learning Centre,IBLC,1961 East Mall,V6T 1Z1,VBL10080,Complete,49.267595,-123.252738
Academic,Gas Gun Facility,GASG,6301 Stadium Road,V6T 1Z4,VBL10410,Complete,49.256017,-123.246052
Housing,Coast - Apartment West,COSW,6093 Iona Drive,V6T 0B2,VBL10297,Complete,49.270742,-123.253207
Athletics,War Memorial Gymnasium,MGYM,6081 University Boulevard,V6T 1Z1,VBL10161,Complete,49.266772,-123.247656
Athletics,UBC Tennis Centre,TENN,6160 Thunderbird Boulevard,V6T 1Z3,VBL10090,Complete,49.259487,-123.243836
Operations,Environmental Services Facility - Waste Processing & Storage,ENV7,"6025 Nurseries Road, Building 6",V6T 1W5,VBL10019,Complete,49.243446,-123.22872
Services,Rodney Graham Millennial Time Machine,RSCU,1940 Main Mall,V6T 1Z1,VBL10051,Complete,49.267524,-123.2545
Services,Child Care Services - Willow,MCC3,2845 Revelstoke Court,V6T 1S1,VBL10375,Complete,49.260828,-123.235327
Services,Child Care Services - Barish,MCC2,2835 Revelstoke Court,V6T 1S1,VBL10373,Complete,49.260465,-123.23552
Services,Child Care Services - Saw-Whet,MCC1,2850 Salmo Court,V6T 1S1,VBL10372,Complete,49.260393,-123.236502
Services,Child Care Services - Acadia,CCS1,2865 Revelstoke Court,V6T 1S1,VBL10272,Complete,49.260896,-123.234734
Housing,Azalea House,AZAL,6388 Hawthorn Lane,V6T 0B9,VBL10133,Complete,49.257895,-123.249486
Housing,Webber House,WEBH,3388 Webber Lane,V6S 0J8,VBL10171,Complete,49.253308,-123.236779
Housing,Tamarack House,TAMK,6230 Thunderbird Boulevard,V6T 0C3,VBL10159,Complete,49.259596,-123.246328
Housing,The Mews,MEWS,3333 Wesbrook Mall,V6S 0E3,VBL10165,Complete,49.254534,-123.235709
Housing,Village Square,VSQU,3338 Webber Lane,V6S 0J7,VBL10170,Complete,49.25396,-123.236379
Academic,Sing Tao Building,STAO,6388 Crescent Road,V6T 1Z2,VBL10348,Complete,49.267832,-123.25776
Housing,Larkspur House,LARK,3428 Wesbrook Mall,V6S 0G9,VBL10018,Complete,49.25356,-123.234055
Athletics,Gerald McGavin UBC Rugby Centre,RUGC,2765 Wesbrook Mall,V6T 1Z3,VBL10412,Complete,49.259582,-123.241314
Housing,Sumac House,SUMA,6395 Hawthorn Lane,V6T 0C1,VBL10041,Complete,49.258279,-123.250057
StudentHousing,tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ (Saltwater) - q̓əlɬaləməcən leləm̓ (Orca),QLCN,5965 Student Union Boulevard,V6T 1K2,VBL10381,Complete,49.268822,-123.249653
StudentHousing,tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ (Saltwater) - sɬewət̕ leləm̓ (Herring),SLWT,1945 Wesbrook Mall,V6T 1K2,VBL10383,Complete,49.269589,-123.247923
Academic,Geography Building,GEOG,1984 West Mall,V6T 1Z2,VBL10411,Complete,49.265984,-123.256128
Academic,Plant Science Field Station,PLS1,"2613 West Mall, Building 2",V6T 1Z4,VBL10433,Complete,49.256307,-123.249481
Housing,Ivy on the Park - Midrise,IVYM,"5681 Birney Avenue, Building 1",V6S 0A5,VBL10457,Complete,49.254882,-123.231847
Services,Child Care Services - Sitka/Discovery,CCS6,5620 Osoyoos Crescent,V6T 2E6,VBL10140,Complete,49.259762,-123.234519
Housing,Dahlia House,DAHL,3515 Wesbrook Mall,V6S 0H2,VBL10096,Complete,49.252149,-123.233927
Housing,Virtuoso,VIRT,3581 Ross Drive,V6S 0K5,VBL10345,Complete,49.250732,-123.233967
Housing,Ivy on the Park - Townhouses,IVYT,5681 Birney Avenue,V6S 0A5,VBL10264,Complete,49.254625,-123.231816
Other,Old Barn Community Centre,OBCC,6308 Thunderbird Boulevard,V6T 1Z4,VBL10157,Complete,49.258911,-123.248269
Other,Wesbrook Community Centre,WCOM,3335 Webber Lane,V6S 0H3,VBL10168,Complete,49.254008,-123.237712
Services,Child Care Services - Tillicum/Canada Goose,CCS8,5660 Osoyoos Crescent,V6T 2E6,VBL10142,Complete,49.259596,-123.234985
Services,Child Care Services - Kittiwake/Salal,CCS2,5655 Osoyoos Crescent,V6T 1S1,VBL10273,Complete,49.259997,-123.235278
Housing,The Wesbrook - Highrise,WSB1,5838 Berton Avenue,V6S 0A5,VBL10184,Complete,49.255096,-123.234509
Housing,The Wesbrook - Townhouses,WSB2,"5838 Berton Avenue, Building 1",V6S 0A5,VBL10076,Complete,49.254725,-123.234205
Other,Carey Centre,CRYC,5920 Iona Drive,V6T 1J6,VBL10257,Complete,49.27152,-123.248908
Housing,Ultima,ULTM,3479 Wesbrook Mall,V6S 0B7,VBL10340,Complete,49.25274,-123.234399
Other,Carey Hall,CRYH,1815 Wesbrook Mall,V6T 1J6,VBL10208,Complete,49.271737,-123.248532
Services,Walter H. Gage Residence - Commonsblock,WGR1,"5959 Student Union Boulevard, Building 1",V6T 1K2,VBL10263,Complete,49.269529,-123.249831
Administrative,Campus & Community Planning,CCP,2210 West Mall,V6T 1Z4,VBL10332,Complete,49.262441,-123.253282
Services,Totem Park Residence - Commonsblock,TPR1,"2525 West Mall, Building 1",V6T 1W9,VBL10231,Complete,49.25804,-123.252981
Housing,West Hampstead - Building 1,WHM1,5760 Hampton Place,V6T 2G1,VBL10281,Complete,49.257587,-123.235241
Housing,The Residences at Nobel Park - Apartment,REN1,3533 Ross Drive,V6S 0L3,VBL10353,Complete,49.250613,-123.235007
Housing,West Hampstead - Townhouses,WHM2,"5760 Hampton Place, Building 1",V6T 2G1,VBL10398,Complete,49.257507,-123.234582
Services,Museum of Anthropology,MOA,6393 NW Marine Drive,V6T 1Z2,VBL10235,Complete,49.269499,-123.259423
StudentHousing,tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ (Saltwater) - sqimək̓ʷ leləm̓ (Octopus),SQMK,1875 Wesbrook Mall,V6T 1K2,VBL10382,Complete,49.270523,-123.248315
Academic,"Auditorium Annex Offices - A, B",AUDX,1924 West Mall,V6T 1Z2,VBL10228,Complete,49.266585,-123.256621
Administrative,Old Administration Building,OAB,6328 Memorial Road,V6T 1Z2,VBL10138,Complete,49.267105,-123.255511
StudentHousing,tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ (Saltwater) - təməs leləm̓ (Sea Otter),TMES,1885 Wesbrook Mall,V6T 1K2,VBL10384,Complete,49.270168,-123.248031
StudentHousing,tə šxʷhəleləm̓s tə k̓ʷaƛ̓kʷəʔaʔɬ (Saltwater) - qʷta:yθən leləm̓ (Sturgeon),QTYN,"5955 Student Union Boulevard, Building 1",V6T 1K2,VBL10378,Complete,49.269217,-123.248518
Services,AMS Student Nest,NEST,6133 University Boulevard,V6T 1Z1,VBL10407,Complete,49.266573,-123.249801
Housing,Eton - Highrise,ETN1,3487 Binning Road,V6S 0K8,VBL10135,Complete,49.25345,-123.230561
Housing,Westchester,WSTR,2598 West Mall,V6T 2J9,VBL10220,Complete,49.257373,-123.249109
Housing,Westpoint,WSPT,6005 Walter Gage Road,V6T 0B3,VBL10305,Complete,49.270242,-123.250471
Housing,Wyndham Hall,WYND,5683 Hampton Place,V6T 2H3,VBL10293,Complete,49.259327,-123.234172
Housing,Yu,YU,5955 Birney Avenue,V6S 0C5,VBL10167,Complete,49.25356,-123.23605
Housing,The Laureates - Highrise,LAR1,5628 Birney Avenue,V6S 0H7,VBL10241,Complete,49.254108,-123.230797
Housing,Eton - Townhouses,ETN3,"5687 Gray Avenue, Building 1",V6S 0K7,VBL10244,Complete,49.253536,-123.231519
Services,Kids Club,KIDS,2855 Acadia Road,V6T 1S1,VBL10374,Complete,49.261725,-123.234805
Housing,The Laureates - Apartment,LAR2,5638 Birney Avenue,V6S 0H8,VBL10261,Complete,49.254211,-123.231755
Commercial,Granite Terrace - Commercial,GRT2,5923 Berton Avenue,V6S 0B3,VBL10414,Complete,49.255066,-123.236109
Housing,Ivy on the Park - Highrise,IVYH,5629 Birney Avenue,V6S 0L5,VBL10265,Complete,49.254718,-123.230999
Administrative,Cecil Green Park Coach House,CGPC,6323 Cecil Green Park Road,V6T 1Z1,VBL10341,Complete,49.271001,-123.25847
Services,Arts Student Centre,ARTC,1860 East Mall,V6T 1Z1,VBL10426,Complete,49.269292,-123.253051
Housing,Coast - Townhouses,COST,6090 Chancellor Mews,V6T 2J5,VBL10277,Complete,49.271069,-123.253054
Services,Dan On Food and Beverage Innovation Centre,FBIC,2220 East Mall,V6T 1Z3,VBL10448,Complete,49.263897,-123.248195
Other,Hillel House - Diamond Foundation Centre for Jewish Campus Life,HILL,6145 Student Union Boulevard,V6T 1Z1,VBL10361,Complete,49.268604,-123.251324
Services,Third Space,THSP,6363 Biological Sciences Road,V6T 1Z4,VBL10447,Complete,49.263008,-123.253241
Administrative,Gateway Health Building,GWHB,5955 University Boulevard,V6T 1Z1,VBL10442,Complete,49.266745,-123.246505
Housing,Pathways - East Building,PTHE,5779 Birney Avenue,V6S 0A3,VBL10239,Complete,49.254669,-123.23283
Housing,Pathways - West Building,PTHW,5777 Birney Avenue,V6S 0A4,VBL10240,Complete,49.254401,-123.23382
Administrative,FERIC,FERC,2601 East Mall,V6T 1Z4,VBL10020,Complete,49.257752,-123.244537
Research,FPInnovations,FPIN,2665 East Mall,V6T 1Z4,VBL10021,Complete,49.256786,-123.244468
Athletics,Rugby Pavilion,RUGB,2584 East Mall,V6T 1Z3,VBL10055,Complete,49.258676,-123.244014
Services,Marine Drive Residence - 3 Commonsblock,MAR3,"2205 Lower Mall, Building 3",V6T 1Z4,VBL10088,Complete,49.26141,-123.256859
Services,Place Vanier Residence - Commonsblock,VNR03,"1935 Lower Mall, Building 1",V6T 1X1,VBL10108,Complete,49.26465,-123.258583
Other,St. Mark's College,STMK,5935 Iona Drive,V6T 1J7,VBL10118,Complete,49.272277,-123.249169
Services,St. John Hospice,STJN,6389 Stadium Road,V6T 1Z4,VBL10156,Complete,49.25551,-123.247358
Services,Abdul Ladha Science Student Centre,ALSC,2055 East Mall,V6T 1Z1,VBL10163,Complete,49.266083,-123.251356
Commercial,Wesbrook Professional Centre,WPRO,3313 Shrum Lane,V6S 0C8,VBL10166,Complete,49.254484,-123.236356
Services,Acadia Commonsblock,ACOM,"2707 Tennis Crescent, Building 1",V6T 2E5,VBL10185,Complete,49.262634,-123.237352
StudentHousing,Thunderbird Residence - Coast,THR4,6395 Thunderbird Boulevard,V6T 1Z4,VBL10121,Complete,49.25897,-123.250361
StudentHousing,Thunderbird Residence - Hazelton,THR5,2410 West Mall,V6T 2G9,VBL10122,Complete,49.259569,-123.250846
StudentHousing,Thunderbird Residence - Monashee,THR2,6285 Thunderbird Boulevard,V6T 2G9,VBL10098,Complete,49.259933,-123.247557
Housing,Georgia Point,GEOP,3381 Ross Drive,V6S 0L2,VBL10247,Complete,49.251948,-123.239235
Academic,West Mall Swing Space Building,SWNG,2175 West Mall,V6T 1Z4,VBL10304,Complete,49.262795,-123.254384
Housing,Exeter Hall - Highrise,EXH1,6036 Gray Avenue,,VBL10451,UnderConstruction,49.251332,-123.235297
Housing,Exeter Hall - Townhouses,EXH2,"6036 Gray Avenue, Building 1",,VBL10452,UnderConstruction,49.25146,-123.234964
StudentHousing,Spirit Park Apartments,SPPA,2715 Osoyoos Crescent,V6T 1X7,VBL10074,Complete,49.261491,-123.239374
StudentHousing,Sopron House,SOPR,2730 Acadia Road,V6T 1R9,VBL10075,Complete,49.262179,-123.23534
StudentHousing,Acadia House,ACAH,2700 Acadia Road,V6T 1R9,VBL10308,Complete,49.26288,-123.235908
StudentHousing,Green College - Admin,GRN4,"6201 Cecil Green Park Road, Building 8",V6T 1Z1,VBL10200,Complete,49.270987,-123.256308
Athletics,Thunderbird Stadium,STAD,6288 Stadium Road,V6T 1Z4,VBL10214,Complete,49.254767,-123.244579
Housing,Central,CNTL,6015 University Boulevard,V6T 0C4,VBL10356,Complete,49.266333,-123.24722
Services,Brock Hall,BRCK,1874 East Mall,V6T 1Z1,VBL10331,Complete,49.268639,-123.252062
Academic,First Nations Longhouse,FNLH,1985 West Mall,V6T 1Z2,VBL10386,Complete,49.265561,-123.257188
StudentHousing,Point Grey Apartments,PGRA,2875 Osoyoos Crescent,V6T 2G3,VBL10145,Complete,49.259968,-123.237998
StudentHousing,Walter H. Gage Residence - Gage Apartments,WGR2,"5959 Student Union Boulevard, Building 5",V6T 1K2,VBL10301,Complete,49.270145,-123.249022
StudentHousing,Place Vanier Residence - Tweedsmuir House,VNR13,"1935 Lower Mall, Building 5",V6T 1X1,VBL10369,Complete,49.263472,-123.258301
Parking,Fraser River Parkade,PARF,6440 Memorial Road,V6T 1Z2,VBL10397,Complete,49.266067,-123.258042
Housing,Norman MacKenzie House,MCKH,6565 NW Marine Drive,V6T 1A7,VBL10233,Complete,49.267676,-123.261175
Athletics,UBC Football Academic Centre,FOOT,6298 Stadium Road,V6T 1Z4,VBL10246,Complete,49.255246,-123.24502
Housing,Wordsworth - Townhouses,WSW2,"6138 Birney Avenue, Building 1",V6S 0N1,VBL10446,Complete,49.251943,-123.237199
Academic,Wood Fluid and Thermal Treatments Laboratory,WDL,2324 West Mall,V6T 1Z4,VBL10285,Complete,49.261475,-123.252249
Operations,Vanier Pump Station,VNRP,"1935 Lower Mall, Building 14",V6T 1X1,VBL10416,Complete,49.264821,-123.260251
Housing,Wordsworth - Highrise,WSW1,6138 Birney Avenue,V6S 0N1,VBL10445,Complete,49.252441,-123.236845
StudentHousing,Place Vanier Residence - Sherwood Lett House,VNR11,"1935 Lower Mall, Building 4",V6T 1X1,VBL10365,Complete,49.26339,-123.257513
Housing,Axis,AXIS,6090 Iona Drive,V6T 0B6,VBL10314,Complete,49.270001,-123.252233
Housing,Prodigy - Building 1,PRD1,6033 Gray Avenue,V6S 0G3,VBL10349,Complete,49.251667,-123.235957
Housing,Prodigy - Building 2,PRD2,3462 Ross Drive,V6S 0H6,VBL10336,Complete,49.251632,-123.236605
Services,Ladner Clock Tower,CLCK,1956 Main Mall,V6T 1Z1,VBL10376,Complete,49.267351,-123.253656
Housing,Folio - Townhouses,FOL2,5962 Chancellor Mews,V6T 2L5,VBL10316,Complete,49.272249,-123.250191
Housing,Folio - Apartment,FOL1,5955 Iona Drive,V6T 2L4,VBL10309,Complete,49.272098,-123.24975
Housing,Corus,CORS,5989 Walter Gage Road,V6T 0A8,VBL10303,Complete,49.270653,-123.249347
Academic,Leon and Thea Koerner University Centre,UCEN,6331 Crescent Road,V6T 1Z2,VBL10093,Complete,49.268901,-123.257225
Academic,UBC Farm - Harvest Hut/Market,FRM2,"3461 Ross Drive, Building 5",V6T 1W5,VBL10245,Complete,49.250758,-123.237933
Services,Nitobe Memorial Garden,NITO,1895 Lower Mall,V6T 1Z2,VBL10230,Complete,49.266168,-123.259189
Housing,Folio - Duplexes,FOL3,5998 Chancellor Boulevard,V6T 0A1,VBL10291,Complete,49.272415,-123.250604
Housing,Argyll House West,ARGW,6018 Iona Drive,V6T 2L1,VBL10298,Complete,49.270788,-123.251327
Housing,Chancellor Hall - Apartment,CHHA,5989 Iona Drive,V6T 2L7,VBL10290,Complete,49.271895,-123.250461
Housing,Stirling House,STIR,6080 Iona Drive,V6T 0A4,VBL10289,Complete,49.270476,-123.252469
Housing,Argyll House East,ARGE,5958 Iona Drive,V6T 2L2,VBL10288,Complete,49.271406,-123.249551
Housing,Esse,ESSE,1863 Wesbrook Mall,V6T 2J7,VBL10280,Complete,49.271197,-123.24831
Housing,St. Mark's Duplexes,STMD,5902 Chancellor Boulevard,V6T 0A1,VBL10279,Complete,49.272739,-123.249405
Academic,Forest Sciences Centre,FSC,2424 Main Mall,V6T 1Z4,VBL10119,Complete,49.260597,-123.247827
Academic,Frank Forward Building,FORW,6350 Stores Road,V6T 1Z4,VBL10044,Complete,49.26169,-123.251692
Academic,Fred Kaiser Building,KAIS,2332 Main Mall,V6T 1Z4,VBL10085,Complete,49.262371,-123.250082
Academic,Michael Smith Laboratories,MSL,2185 East Mall,V6T 1Z4,VBL10221,Complete,49.264575,-123.250174
Housing,Oakwood Residences,OAKR,3383 Ross Drive,V6S 0L1,VBL10255,Complete,49.251653,-123.238526
Academic,Frederic Lasserre Building,LASR,6333 Memorial Road,V6T 1Z2,VBL10042,Complete,49.267591,-123.255979
Academic,Mathematics Annex,MATX,1986 Mathematics Road,V6T 1Z2,VBL10216,Complete,49.266103,-123.254848
Academic,Mathematics Building,MATH,1984 Mathematics Road,V6T 1Z2,VBL10229,Complete,49.26645,-123.255556
Operations,Building Operations Nursery,BONR,6029 Nurseries Road,V6T 1W5,VBL10337,Complete,49.244432,-123.229225
Housing,BCR7 - Building C,BCR7C,3578 Wesbrook Mall,,VBL10461,UnderConstruction,49.251849,-123.232203
Operations,In-Vessel Composting Facility,COMP,6035 Nurseries Road,V6T 1W5,VBL10364,Complete,49.244905,-123.228014
Academic,Theatre-Film Production Building,TFPB,6358 University Boulevard,V6T 1Z4,VBL10209,Complete,49.263869,-123.253928
Housing,BCR7 - Building B,BCR7B,3562 Wesbrook Mall,,VBL10460,UnderConstruction,49.251901,-123.232902
Operations,Environmental Services Facility - Incinerator,ENV2,"6025 Nurseries Road, Building 2",V6T 1W5,VBL10402,Complete,49.243679,-123.229006
Housing,BCR7 - Building A,BCR7A,3588 Wesbrook Mall,,VBL10459,UnderConstruction,49.251598,-123.232759
Academic,"Chemistry Building - B, C, D, E",CHEM,2036 Main Mall,V6T 1Z1,VBL10328,Complete,49.265817,-123.252665
Services,Frederic Wood Theatre,FRWO,6354 Crescent Road,V6T 1Z2,VBL10405,Complete,49.268053,-123.256958
Operations,Building Operations Storage Shed,BOSS,2214 Lower Mall,V6T 1Z4,VBL10207,Complete,49.262185,-123.254414
Academic,C.K. Choi Building for the Institute of Asian Research,CHOI,1855 West Mall,V6T 1Z2,VBL10338,Complete,49.267267,-123.257949
Housing,Sail - Building 2,SAL2,5981 Gray Avenue,V6S 0G1,VBL10390,Complete,49.252624,-123.235208
Housing,Chancellor House - Apartment,CHOA,6015 Iona Drive,V6T 2J4,VBL10387,Complete,49.27156,-123.251437
Housing,Chancellor House - Duplexes,CHOD,6002 Chancellor Boulevard,V6T 1E7,VBL10385,Complete,49.27198,-123.251856
Housing,The Residences at Nobel Park - Townhouses,REN2,3483 Ross Drive,V6S 0L3,VBL10352,Complete,49.250915,-123.236394
Parking,University Boulevard Lot,ULOT,6131 University Boulevard,V6T 1Z3,VBL10355,Complete,49.266722,-123.248943
Other,AYO Smart Home,AYOH,5935 Agronomy Road,V6T 1Z3,VBL10294,Complete,49.263038,-123.243407
Parking,Health Sciences Parkade,PARH,2250 Health Sciences Mall,V6T 1Z3,VBL10357,Complete,49.263405,-123.247842
StudentHousing,Thunderbird Residence - Selkirk,THR3,6335 Thunderbird Boulevard,V6T 2G9,VBL10215,Complete,49.259278,-123.249493
StudentHousing,Totem Park Residence - c̓əsnaʔəm leləm̓,TPR7,"2525 West Mall, Building 7",V6T 1W9,VBL10105,Complete,49.256811,-123.251637
StudentHousing,Totem Park Residence - həm̓ləsəm̓ House,TPR5,"2525 West Mall, Building 5",V6T 1W9,VBL10128,Complete,49.258604,-123.251195
StudentHousing,Totem Park Residence - q̓ələχən House,TPR4,"2525 West Mall, Building 4",V6T 1W9,VBL10016,Complete,49.259167,-123.251545
Parking,Rose Garden Parkade,PARR,6278 NW Marine Drive,V6T 1Z1,VBL10054,Complete,49.269116,-123.2563
Academic,David Lam Management Research Centre,DLAM,2033 Main Mall,V6T 1Z2,VBL10278,Complete,49.265711,-123.254319
Parking,North Parkade,PARN,6115 Student Union Boulevard,V6T 1Z1,VBL10234,Complete,49.269028,-123.250913
Academic,Buchanan Building,BUCH,1866 Main Mall,V6T 1Z1,VBL10323,Complete,49.268701,-123.254441
Housing,The Balmoral,BALM,5615 Hampton Place,V6T 2H1,VBL10175,Complete,49.258489,-123.232724
Housing,The Bristol,BRIS,5735 Hampton Place,V6T 2G8,VBL10286,Complete,49.258841,-123.235006
Housing,The Chatham,CHAT,5775 Hampton Place,V6T 2G6,VBL10254,Complete,49.258692,-123.236175
Housing,The Regency,REGE,5639 Hampton Place,V6T 2H6,VBL10287,Complete,49.259107,-123.232862
Housing,The Pemberley,PEMB,5605 Hampton Place,V6T 2H2,VBL10205,Complete,49.258013,-123.232193
Housing,The Stratford,STRA,5657 Hampton Place,V6T 2H4,VBL10206,Complete,49.259635,-123.233455
StudentHousing,Thunderbird Residence - Cassiar,THR1,6205 Thunderbird Boulevard,V6T 2G9,VBL10079,Complete,49.260243,-123.246685
Housing,Coast - Duplexes,COSD,6098 Chancellor Boulevard,V6T 1E7,VBL10399,Complete,49.271317,-123.25321
Services,Ambulance Station,AMBS,2333 Wesbrook Mall,V6T 1Z3,VBL10186,Complete,49.263243,-123.243597
Services,Chan Centre for the Performing Arts,CHAN,6265 Crescent Road,V6T 1Z1,VBL10282,Complete,49.269771,-123.25511
StudentHousing,Marine Drive Residence - 1 Simon Lee,MAR1,"2205 Lower Mall, Building 1",V6T 1Z4,VBL10319,Complete,49.261998,-123.255881
Academic,Music Building,MUSC,6361 Memorial Road,V6T 1Z2,VBL10101,Complete,49.26744,-123.256778
StudentHousing,Fraternity Village,FRAT,2880 Wesbrook Mall,V6T 2J3,VBL10404,Complete,49.259653,-123.238849
Academic,Chemical and Biological Engineering Building,CHBE,2360 East Mall,V6T 1Z3,VBL10062,Complete,49.262481,-123.247066
Research,NRC Institute for Fuel Cell Innovation,NRC,4250 Wesbrook Mall,V6T 1W5,VBL10243,Complete,49.245182,-123.232287
Services,Public Safety Building - RCMP + Fire,PSAB,2990 Wesbrook Mall,V6T 2B7,VBL10046,Complete,49.258943,-123.238113
Housing,St. Andrew's Hall,STH,6040 Iona Drive,V6T 2E8,VBL10114,Complete,49.270143,-123.251748
Academic,The Brimacombe Building,BRIM,2355 East Mall,V6T 1Z4,VBL10066,Complete,49.26186,-123.248073
Services,Robert H. Lee Alumni Centre,ALUM,6163 University Boulevard,V6T 1Z1,VBL10256,Complete,49.265946,-123.249909
Academic,UBC Research Ponds,RESP,4069 Wesbrook Mall,V6T 1W5,VBL10222,Complete,49.247161,-123.232721
Academic,Wayne and William White Engineering Design Centre,EDC,2345 East Mall,V6T 1Z4,VBL10064,Complete,49.262333,-123.248164
Athletics,UBC Aquatic Centre,AQUA,6080 Student Union Boulevard,V6T 1Z1,VBL10071,Complete,49.267789,-123.248595
Athletics,UBC Baseball Rose Indoor Training Centre,BTC,3085 Wesbrook Mall,V6T 1Z4,VBL10237,Complete,49.256214,-123.239512
Academic,UBC Farm - Farm Centre,FRM1,"3461 Ross Drive, Building 1",V6T 1W5,VBL10014,Complete,49.251583,-123.240127
Academic,Stores Road Annex,STRX,6368 Stores Road,V6T 1Z4,VBL10124,Complete,49.261667,-123.252359
StudentHousing,Panhellenic House,PANH,2770 Wesbrook Mall,V6T 2B7,VBL10313,Complete,49.260104,-123.239567
Services,Thea Koerner House,THEA,6371 Crescent Road,V6T 1Z2,VBL10249,Complete,49.268436,-123.257867
Housing,Tapestry at Wesbrook Village - Building 1,TAP1,3338 Wesbrook Mall,V6S 0A6,VBL10137,Complete,49.254739,-123.235012
Housing,Tapestry at Wesbrook Village - Building 2,TAP2,3382 Wesbrook Mall,V6S 0A7,VBL10182,Complete,49.254147,-123.234518
Housing,Thames Court - Building 1,THAC1,"5880 Hampton Place, Building 1",V6T 2E9,VBL10417,Complete,49.257255,-123.235775
Academic,The Leonard S. Klinck Building,LSK,6356 Agricultural Road,V6T 1Z2,VBL10252,Complete,49.265433,-123.255339
Academic,Hugh Dempster Pavilion,DMP,6245 Agronomy Road,V6T 1Z4,VBL10363,Complete,49.261242,-123.248057
Academic,Totem Field Studios,TFS,2613 West Mall,V6T 1Z4,VBL10223,Complete,49.256128,-123.249001
Services,Morris and Helen Belkin Art Gallery,BART,1825 Main Mall,V6T 1Z2,VBL10315,Complete,49.26817,-123.25619
Academic,Dorothy Somerset Studios,DSOM,6361 University Boulevard,V6T 1Z2,VBL10130,Complete,49.264692,-123.254593
Commons,"Orchard Commons - Vantage College, Bartlett/Braeburn House",ORCH,6363 Agronomy Road,V6T 1Z4,VBL10013,Complete,49.260461,-123.251332
StudentHousing,Ritsumeikan-UBC House,RITS,6460 Agronomy Road,V6T 1Z4,VBL10250,Complete,49.260102,-123.252997
StudentHousing,Walter H. Gage Residence - West Coast Suites (Gage Court),WGR3,5961 Student Union Boulevard,V6T 1K2,VBL10396,Complete,49.269593,-123.248586
Academic,Hector J. MacLeod Building,MCLD,2356 Main Mall,V6T 1Z4,VBL10099,Complete,49.261716,-123.249401
Academic,Life Sciences Centre,LSC,2350 Health Sciences Mall,V6T 1Z3,VBL10111,Complete,49.262548,-123.245112
Academic,P. A. Woodward Instructional Resources Centre,IRC,2194 Health Sciences Mall,V6T 1Z3,VBL10102,Complete,49.264822,-123.246848
Administrative,Ponderosa Annex C,PONC,2021 West Mall,V6T 1Z2,VBL10344,Complete,49.264854,-123.256275
